x_m,y_m
4.084667500062280805e-03,1.547851562499999965e-02
4.091796875000000382e-03,1.547949296673671246e-02
4.111328124999999965e-03,1.548199301680790521e-02
4.130859375000000416e-03,1.548430722279048842e-02
4.150390625000000000e-03,1.548648028026407449e-02
4.169921875000001318e-03,1.548854991422195584e-02
4.189453125000000035e-03,1.549054798449244971e-02
4.208984375000000486e-03,1.549250137815873576e-02
4.228515625000000069e-03,1.549443272251782924e-02
4.248046875000000520e-03,1.549636094603928232e-02
4.265058338710786372e-03,1.549804687500000097e-02
4.267578125000000104e-03,1.549830648929797355e-02
4.287109374999999688e-03,1.550020648418050893e-02
4.306640625000000139e-03,1.550197138368842459e-02
4.326171874999999722e-03,1.550362305932356279e-02
4.345703125000000173e-03,1.550518000301878002e-02
4.365234374999999757e-03,1.550665778898302830e-02
4.384765625000000208e-03,1.550806946163992873e-02
4.404296874999999792e-03,1.550942586307046782e-02
4.423828125000000243e-03,1.551073590713688416e-02
4.443359374999999827e-03,1.551200681219587138e-02
4.462890625000000278e-03,1.551324430001636660e-02
4.482421874999999861e-03,1.551445276791703701e-02
4.501953125000000312e-03,1.551563543938589904e-02
4.521484374999999896e-03,1.551679449736625450e-02
4.535000974070389421e-03,1.551757812500000056e-02
4.541015625000000347e-03,1.551793726646270681e-02
4.560546874999999931e-03,1.551903194092529338e-02
4.580078125000000382e-03,1.552005026506547529e-02
4.599609374999999965e-03,1.552099876443507366e-02
4.619140625000000416e-03,1.552188298460323128e-02
4.638671875000000000e-03,1.552270761468923892e-02
4.658203125000001318e-03,1.552347659652193040e-02
4.677734375000000035e-03,1.552419322117712906e-02
4.697265625000000486e-03,1.552486021426633528e-02
4.716796875000000069e-03,1.552547981156850686e-02
4.736328125000000520e-03,1.552605382645209572e-02
4.755859375000000104e-03,1.552658371015998816e-02
4.775390624999999688e-03,1.552707060574931228e-02
4.794921875000000139e-03,1.552751539639379494e-02
4.814453124999999722e-03,1.552791874864433395e-02
4.833984375000000173e-03,1.552828115111272271e-02
4.853515624999999757e-03,1.552860294892110041e-02
4.873046875000000208e-03,1.552888437419595695e-02
4.892578124999999792e-03,1.552912557279493601e-02
4.912109375000000243e-03,1.552932662746455209e-02
4.931640624999999827e-03,1.552948757750421439e-02
4.951171875000000278e-03,1.552960843509414504e-02
4.970703124999999861e-03,1.552968919816014905e-02
4.990234375000000312e-03,1.552972986019327158e-02
5.009765624999999896e-03,1.552973041650984598e-02
5.029296875000000347e-03,1.552969086734147172e-02
5.048828124999999931e-03,1.552961121820401955e-02
5.068359375000000382e-03,1.552949147581544724e-02
5.087890624999999965e-03,1.552933164242421837e-02
5.107421875000000416e-03,1.552913170556390228e-02
5.126953125000000000e-03,1.552889162523446442e-02
5.146484375000001318e-03,1.552861131749671414e-02
5.166015625000000035e-03,1.552829063481112049e-02
5.185546874999999618e-03,1.552792934287205301e-02
5.205078125000000069e-03,1.552752709389869368e-02
5.224609375000000520e-03,1.552708339616711355e-02
5.244140625000000104e-03,1.552659757960635385e-02
5.263671874999999688e-03,1.552606875718241797e-02
5.283203125000000139e-03,1.552549578175066274e-02
5.302734374999999722e-03,1.552487719793379552e-02
5.322265625000000173e-03,1.552421118844992537e-02
5.341796874999999757e-03,1.552349551419104738e-02
5.361328125000000208e-03,1.552272744724171767e-02
5.380859374999999792e-03,1.552190369574231281e-02
5.400390625000000243e-03,1.552102031913578199e-02
5.419921874999999827e-03,1.552007263214686544e-02
5.439453125000000278e-03,1.551905509600030875e-02
5.458984374999999861e-03,1.551796119506530965e-02
5.465401831224994157e-03,1.551757812500000056e-02
5.478515624999999445e-03,1.551681768300519453e-02
5.498046874999999896e-03,1.551565803470008817e-02
5.517578125000000347e-03,1.551447476559937935e-02
5.537109374999999931e-03,1.551326572008092895e-02
5.556640625000000382e-03,1.551202769965221578e-02
5.576171874999999965e-03,1.551075632904687189e-02
5.595703125000000416e-03,1.550944590536821807e-02
5.615234375000000000e-03,1.550808922607534862e-02
5.634765625000001318e-03,1.550667739051017104e-02
5.654296875000000035e-03,1.550519956785223821e-02
5.673828125000000486e-03,1.550364272388790772e-02
5.693359375000000069e-03,1.550199129473335893e-02
5.712890625000000520e-03,1.550022680014091943e-02
5.732421875000000104e-03,1.549832738307124584e-02
5.735144619012923564e-03,1.549804687500000271e-02
5.751953124999999688e-03,1.549638041692392651e-02
5.771484375000000139e-03,1.549445123470704309e-02
5.791015624999999722e-03,1.549251915990586086e-02
5.810546875000000173e-03,1.549056527747726640e-02
5.830078124999999757e-03,1.548856697725901031e-02
5.849609375000000208e-03,1.548649739451936173e-02
5.869140624999999792e-03,1.548432469899584801e-02
5.888671875000000243e-03,1.548201120440925206e-02
5.908203124999999827e-03,1.547951226537901299e-02
5.915475319496082268e-03,1.547851562499999965e-02
5.927734375000000278e-03,1.547688216579564194e-02
5.947265624999999861e-03,1.547431109055845758e-02
5.966796875000000312e-03,1.547175770357364817e-02
5.986328124999999896e-03,1.546917369409340354e-02
6.005859375000000347e-03,1.546650272489092336e-02
6.025390624999999931e-03,1.546367865534931975e-02
6.044921875000000382e-03,1.546062325057793833e-02
6.054600854535488637e-03,1.545898437500000007e-02
6.064453124999999965e-03,1.545734811904401172e-02
6.083984375000000416e-03,1.545416171551314798e-02
6.103515625000000000e-03,1.545100894006174938e-02
6.123046875000001318e-03,1.544779425653412634e-02
6.142578125000000035e-03,1.544440655209029095e-02
6.162109375000000486e-03,1.544071445712892274e-02
6.168265608058837689e-03,1.543945312500000049e-02
6.181640625000000069e-03,1.543679716056258269e-02
6.201171875000000520e-03,1.543301934727956196e-02
