step,time_s,liquid_area_m2,boundary_integral_m2,balance_error_m2,phi_min,phi_max
38,0.0021494122271476157,1.0017823856411057e-6,1.9344710044328532e-8,3.639594695233322e-23,0.0,1.0002632386998973
39,0.002205975706809395,1.0022914569580617e-6,1.9853781361284546e-8,-4.632211430296955e-23,0.0,1.0002645939355128
40,0.0022625391864711745,1.0028005282750178e-6,2.036285267824056e-8,8.271806125530277e-23,0.0,1.0002658261056345
41,0.002319102666132954,1.0033095995919737e-6,2.0871923995196574e-8,0.0,0.0,1.0002669377678
42,0.0023756661457947333,1.0038186709089299e-6,2.1380995312152588e-8,1.2904017555827232e-22,0.0,1.0002679325227655
43,0.0024322296254565127,1.0043277422258858e-6,2.1890066629108602e-8,4.632211430296955e-23,0.0,1.000268814542623
44,0.002488793105118292,1.004836813542842e-6,2.2399137946064617e-8,1.7536228986124187e-22,0.0,1.0002695882616608
45,0.0025453565847800715,1.0053458848597977e-6,2.290820926302063e-8,-1.1911400820763599e-22,0.0,1.0002702581811604
46,0.002601920064441851,1.0058549561767538e-6,2.3417280579976645e-8,9.926167350636332e-24,0.0,1.0002708287507889
47,0.0026584835441036303,1.00636402749371e-6,2.392635189693266e-8,1.3896634290890865e-22,0.0,1.0002713042999396
48,0.0027150470237654097,1.0068730988106657e-6,2.4435423213888673e-8,-1.555099551599692e-22,0.0,1.000271689000827
49,0.002771610503427189,1.0073821701276218e-6,2.4944494530844687e-8,-2.6469779601696886e-23,0.0,1.0002719868512393
50,0.0028281739830889685,1.007891241444578e-6,2.54535658478007e-8,1.0257039595657543e-22,0.0,1.0002722016690093
51,0.002884737462750748,1.0084003127615339e-6,2.5962637164756715e-8,1.9852334701272664e-23,0.0,1.0002723370926443
52,0.0029413009424125273,1.0089093840784898e-6,2.647170848171273e-8,-6.28657265540301e-23,0.0,1.0002723965790017
